SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1772611996.705464, 0.189890, -0.108487, -9.811887, -0.001919, 0.006817, 0.002542
1772611996.715421, 0.158915, -0.091429, -9.824756, -0.000460, 0.000649, 0.002729
1772611996.725433, 0.173131, -0.094870, -9.807398, -0.004563, 0.002428, 0.001034
1772611996.735563, 0.172083, -0.094122, -9.795128, -0.002133, -0.000314, 0.003683
1772611996.745435, 0.189142, -0.104896, -9.795577, -0.002300, -0.001542, 0.002702
1772611996.755587, 0.167594, -0.093524, -9.794829, 0.002188, 0.001119, 0.003234
1772611996.765499, 0.152181, -0.099509, -9.829545, -0.004821, -0.000143, 0.002437
1772611996.775433, 0.161758, -0.090531, -9.792883, 0.001508, 0.005231, 0.002038
1772611996.785417, 0.174178, -0.098162, -9.832088, 0.001244, 0.013317, 0.000243
1772611996.795245, 0.152930, -0.089633, -9.832238, -0.000277, 0.020442, 0.002309
1772611996.805480, 0.161459, -0.095020, -9.813084, -0.001445, 0.026663, 0.001017
1772611996.815469, 0.176123, -0.100108, -9.801113, -0.000265, 0.010551, 0.004591
1772611996.825024, 0.188543, -0.100856, -9.819220, -0.001059, 0.014133, 0.003591
1772611996.835587, 0.179266, -0.098013, -9.823260, 0.007557, -0.000684, 0.001917
1772611996.845322, 0.069731, -0.716166, -9.828497, -0.007921, -0.015226, 0.074486
1772611996.855408, 0.155324, -2.452560, -9.702802, -0.002484, -0.014365, 0.097410
1772611996.865595, 0.352995, 0.666486, -9.887754, 0.008885, 0.015422, -0.000327
1772611996.875437, -0.129736, 0.746243, -9.882965, -0.004706, 0.007608, -0.042988
1772611996.885422, 0.093374, -0.531064, -9.747693, -0.004110, -0.005196, -0.047266
1772611996.895275, 0.185102, -0.760159, -9.794679, -0.006046, 0.009469, -0.043387
1772611996.905469, 0.220715, -0.204255, -9.818621, -0.001420, 0.000085, -0.045724
1772611996.915494, 0.155623, -0.016310, -9.831639, -0.002371, 0.008749, -0.033082
1772611996.925495, 0.082600, -0.171185, -9.811139, -0.002117, 0.000231, -0.012253
